conf_thr,entropy_thr,escalation_rate,fastpath_acc,fastpath_n,dang_caught,dang_leaked,esc_acc
0.8,0.35,0.3065843621399177,0.9287833827893175,1011,0.6,40,0.6129753914988815
0.8,0.4,0.27503429355281206,0.9224219489120151,1057,0.56,44,0.5935162094763092
0.8,0.45,0.26406035665294925,0.9198508853681268,1073,0.54,46,0.587012987012987
0.8,0.5,0.26406035665294925,0.9198508853681268,1073,0.54,46,0.587012987012987
0.8,0.55,0.26406035665294925,0.9198508853681268,1073,0.54,46,0.587012987012987
0.8,0.6,0.26406035665294925,0.9198508853681268,1073,0.54,46,0.587012987012987
0.85,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.85,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.85,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.85,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.85,0.3,0.3724279835390947,0.9377049180327869,915,0.68,32,0.6537753222836096
0.85,0.35,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.85,0.4,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.85,0.45,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.85,0.5,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.85,0.55,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.85,0.6,0.32853223593964337,0.933605720122574,979,0.62,38,0.6242171189979123
0.9,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.9,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.9,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.9,0.25,0.47050754458161864,0.939119170984456,772,0.74,26,0.7113702623906706
0.9,0.3,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.35,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.4,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.45,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.5,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.55,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.9,0.6,0.46227709190672156,0.9400510204081632,784,0.74,26,0.7062314540059347
0.95,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.95,0.15,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.2,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.25,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.3,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.35,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.4,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.45,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.5,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.55,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
0.95,0.6,0.8058984910836763,0.9434628975265018,283,0.9,10,0.8051063829787234
